336->720, 0.419, 0.447 
336->96, 0.293, 0.349 
336->192, 0.360, 0.392 
336->336, 0.383, 0.412 
336->720, 0.399, 0.433 
336->96, 0.297, 0.350 
336->192, 0.369, 0.393 
336->336, 0.382, 0.407 
336->720, 0.395, 0.427 
336->96, 0.388, 0.409 
336->192, 0.422, 0.431 
336->336, 0.442, 0.446 
336->720, 0.468, 0.487 
336->96, 0.286, 0.342 
336->192, 0.356, 0.384 
336->336, 0.376, 0.402 
336->720, 0.394, 0.427 
336->96, 0.386, 0.409 
336->192, 0.420, 0.430 
336->336, 0.442, 0.447 
336->720, 0.459, 0.477 
336->96, 0.286, 0.342 
336->192, 0.356, 0.384 
336->336, 0.374, 0.401 
336->720, 0.396, 0.429 
336->96, 0.381, 0.403 
336->192, 0.415, 0.425 
336->336, 0.437, 0.443 
336->720, 0.454, 0.472 
336->96, 0.168, 0.259 
336->192, 0.219, 0.294 
336->336, 0.265, 0.326 
336->720, 0.357, 0.382 
336->96, 0.306, 0.353 
336->192, 0.338, 0.374 
336->336, 0.368, 0.393 
336->720, 0.410, 0.418 
336->96, 0.302, 0.353 
336->96, 0.302, 0.352 
336->192, 0.333, 0.372 
336->336, 0.363, 0.390 
336->192, 0.332, 0.371 
336->720, 0.414, 0.420 
336->336, 0.362, 0.389 
336->720, 0.411, 0.418 
336->96, 0.302, 0.352 
336->192, 0.332, 0.371 
336->336, 0.362, 0.389 
336->720, 0.411, 0.419 
336->192, 0.431, 0.430 
336->96, 0.395, 0.416 
336->192, 0.425, 0.436 
336->336, 0.439, 0.446 
336->720, 0.439, 0.463 
384->96, 0.388, 0.412 
384->192, 0.415, 0.429 
384->336, 0.431, 0.442 
384->720, 0.460, 0.477 
384->96, 0.299, 0.349 
384->96, 0.291, 0.346 
384->192, 0.353, 0.383 
384->336, 0.368, 0.400 
384->720, 0.395, 0.431 
384->192, 0.331, 0.370 
384->336, 0.359, 0.387 
384->96, 0.171, 0.263 
384->192, 0.220, 0.296 
384->720, 0.406, 0.416 
384->336, 0.270, 0.329 
384->720, 0.354, 0.383 
384->96, 0.382, 0.405 
384->192, 0.413, 0.425 
384->336, 0.433, 0.443 
384->720, 0.457, 0.471 
384->96, 0.300, 0.352 
384->192, 0.334, 0.372 
384->336, 0.361, 0.389 
384->720, 0.406, 0.418 
384->96, 0.383, 0.407 
384->192, 0.412, 0.425 
384->336, 0.430, 0.440 
384->720, 0.434, 0.458 
384->96, 0.383, 0.409 
384->192, 0.412, 0.428 
384->336, 0.432, 0.442 
384->720, 0.436, 0.460 
